[00046] base 0x72FA8E2E60 (value 177000044) -> ptr 0xB400007339D04D00 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00047] base 0x72FA8E27D0 (value 177000045) -> ptr 0xB400007339D02890 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00048] base 0x72FA8E20F0 (value 177000046) -> ptr 0xB400007339C09720 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00049] base 0x72FA8E2D70 (value 177000047) -> ptr 0xB400007339CECB50 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00050] base 0x72FA8E25A0 (value 177000048) -> ptr 0xB400007339D02050 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00051] base 0x72FA8E26E0 (value 177000049) -> ptr 0xB400007339D01E40 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00052] base 0x72FA8E25F0 (value 177000050) -> ptr 0xB400007339D04780 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00053] base 0x72FA8E1F60 (value 177000051) -> ptr 0xB400007339D02EC0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00054] base 0x72FA8E1FB0 (value 177000052) -> ptr 0xB400007339D039C0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00055] base 0x72FA8E2460 (value 177000053) -> ptr 0xB400007339D05E30 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00056] base 0x72FA8E2320 (value 177000054) -> ptr 0xB400007339D01C30 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00057] base 0x72FA8E29B0 (value 177000055) -> ptr 0xB400007339D030D0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00058] base 0x72FA8E2BE0 (value 177000056) -> ptr 0xB400007339D03DE0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00059] base 0x72FA8E2870 (value 177000057) -> ptr 0xB400007339D05280 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00060] base 0x72FA8E23C0 (value 177000058) -> ptr 0xB400007339D00370 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00061] base 0x72FA8E2B40 (value 177000059) -> ptr 0xB400007339D00630 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
